corruption,severity,accuracy
gaussian_noise,1,0.9536340852130326
gaussian_noise,2,0.9461152882205514
gaussian_noise,3,0.9461152882205514
gaussian_noise,4,0.9423558897243107
gaussian_noise,5,0.9298245614035088
motion_blur,1,0.9511278195488722
motion_blur,2,0.9411027568922306
motion_blur,3,0.9385964912280702
motion_blur,4,0.9273182957393483
motion_blur,5,0.9085213032581454
brightness,1,0.9511278195488722
brightness,2,0.9398496240601504
brightness,3,0.9411027568922306
brightness,4,0.9335839598997494
brightness,5,0.9335839598997494
contrast,1,0.949874686716792
contrast,2,0.9486215538847118
contrast,3,0.9461152882205514
contrast,4,0.9411027568922306
contrast,5,0.9398496240601504
jpeg_compression,1,0.9511278195488722
jpeg_compression,2,0.9448621553884712
jpeg_compression,3,0.949874686716792
jpeg_compression,4,0.9423558897243107
jpeg_compression,5,0.9010025062656641
