model,params_M,flops_G,inference_ms,test_acc,test_f1
swin_tiny,27.524737,4.371089184,9.871943791707357,0.9461152882205514,0.935176668105873
mobilevit_s,4.942119,1.420209792,8.711481094360352,0.9260651629072681,0.920144833453883
mambavision_t,31.157735,4.471244928,9.49404239654541,0.9298245614035088,0.9188913549194605
deit_small,21.668359,4.240837248,4.677057266235352,0.9235588972431078,0.9119460748952665
efficientnet_b3,10.706991,0.961259792,12.041950225830078,0.924812030075188,0.9118585533850118
resnet50,23.522375,4.131708928,5.418618520100911,0.9260651629072681,0.9112612485011204
convnext_tiny,27.825511,4.45480704,5.080517133076985,0.9223057644110275,0.9057538246592237
mobilenetv3_large,4.210999,0.21535776,5.818518002827963,0.9210526315789473,0.9048557897112843
vit_small,21.668359,4.240837248,4.450837771097819,0.9160401002506265,0.897372137274683
densenet201,18.106375,4.28974976,25.16063054402669,0.9047619047619048,0.8915859109224803
